@relation yazarlar

@attribute nokta numeric
@attribute virgul numeric
@attribute ve_baglaci numeric
@attribute folders {ali ece, ayse arman, batuhan yasar, cengiz semercioglu, huseyin gulerce, melike karakartal, melis alphan, nil karaibrahimgil, omur gedik, oray egin, osman muftuoglu, özgür bolat, refika birgul, sahrap soysal, taha akyol, vedat milor, yalçın bayer, yavuz donat}

@data
26, 21, 3, ali ece
12, 15, 6, ali ece
11, 5, 2, ali ece
22, 51, 6, ali ece
12, 9, 2, ali ece
27, 39, 4, ali ece
13, 35, 9, ali ece
16, 17, 1, ali ece
19, 15, 5, ali ece
7, 15, 4, ali ece
21, 15, 1, ali ece
14, 13, 5, ali ece
18, 17, 1, ali ece
16, 18, 2, ali ece
26, 39, 2, ali ece
17, 22, 2, ali ece
17, 12, 4, ali ece
19, 21, 2, ali ece
13, 14, 2, ali ece
16, 22, 0, ali ece
20, 18, 1, ali ece
16, 16, 1, ali ece
35, 34, 2, ali ece
17, 23, 0, ali ece
19, 26, 5, ali ece
15, 15, 2, ali ece
20, 30, 1, ali ece
13, 15, 1, ali ece
15, 18, 2, ali ece
53, 52, 7, ali ece
34, 42, 9, ali ece
18, 19, 2, ali ece
14, 15, 2, ali ece
11, 12, 1, ali ece
30, 33, 5, ali ece
17, 12, 3, ali ece
35, 49, 11, ali ece
14, 8, 2, ali ece
11, 22, 1, ali ece
11, 11, 6, ali ece
15, 11, 1, ali ece
23, 19, 7, ali ece
16, 9, 3, ali ece
18, 18, 3, ali ece
22, 41, 1, ali ece
19, 19, 1, ali ece
13, 16, 1, ali ece
20, 29, 7, ali ece
22, 9, 2, ali ece
32, 25, 9, ali ece
61, 56, 5, ayse arman
140, 150, 29, ayse arman
131, 97, 17, ayse arman
53, 55, 23, ayse arman
65, 176, 20, ayse arman
58, 101, 2, ayse arman
86, 70, 14, ayse arman
245, 261, 22, ayse arman
79, 135, 35, ayse arman
6, 71, 7, ayse arman
74, 96, 16, ayse arman
8, 57, 6, ayse arman
27, 80, 4, ayse arman
237, 179, 19, ayse arman
84, 68, 19, ayse arman
18, 68, 11, ayse arman
38, 80, 8, ayse arman
53, 71, 16, ayse arman
234, 246, 13, ayse arman
84, 89, 17, ayse arman
23, 48, 7, ayse arman
54, 99, 12, ayse arman
60, 54, 10, ayse arman
24, 84, 7, ayse arman
183, 184, 22, ayse arman
88, 83, 27, ayse arman
77, 64, 13, ayse arman
47, 58, 11, ayse arman
32, 84, 10, ayse arman
219, 228, 17, ayse arman
136, 115, 12, ayse arman
14, 57, 6, ayse arman
37, 55, 1, ayse arman
63, 199, 7, ayse arman
56, 85, 12, ayse arman
166, 165, 40, ayse arman
164, 123, 21, ayse arman
35, 55, 7, ayse arman
48, 58, 13, ayse arman
20, 54, 15, ayse arman
88, 79, 4, ayse arman
98, 151, 16, ayse arman
18, 48, 7, ayse arman
7, 65, 8, ayse arman
291, 418, 41, ayse arman
4, 93, 3, ayse arman
127, 112, 6, ayse arman
52, 38, 11, ayse arman
16, 42, 10, ayse arman
108, 217, 19, ayse arman
11, 16, 5, batuhan yasar
11, 20, 9, batuhan yasar
39, 18, 15, batuhan yasar
26, 15, 12, batuhan yasar
38, 25, 14, batuhan yasar
26, 28, 11, batuhan yasar
56, 30, 9, batuhan yasar
46, 23, 8, batuhan yasar
39, 29, 17, batuhan yasar
47, 14, 8, batuhan yasar
42, 24, 4, batuhan yasar
19, 13, 6, batuhan yasar
45, 20, 8, batuhan yasar
51, 22, 18, batuhan yasar
41, 11, 1, batuhan yasar
64, 49, 17, batuhan yasar
20, 25, 15, batuhan yasar
40, 27, 10, batuhan yasar
34, 34, 11, batuhan yasar
39, 29, 12, batuhan yasar
51, 50, 10, batuhan yasar
48, 21, 14, batuhan yasar
34, 19, 17, batuhan yasar
49, 40, 17, batuhan yasar
59, 42, 15, batuhan yasar
36, 27, 12, batuhan yasar
